idx|study|wake|name_key|n_target|n_distances|outdir|walltime_hr|distances|python_args
1|cross_section_fixed|bast|a0.5_f0.0|50|6|analysis/cross_section_fixed_funwake_k500_packed/a0.5_f0.0|24|2,10,15,20,30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10,15,20,30,40 --wind-rose elliptical --ed-a 0.5 --ed-f 0.0 --wind-dir 270
2|cross_section_fixed|bast|a0.5_f1.0|50|6|analysis/cross_section_fixed_funwake_k500_packed/a0.5_f1.0|24|2,5,10,15,20,30|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,5,10,15,20,30 --wind-rose elliptical --ed-a 0.5 --ed-f 1.0 --wind-dir 270
3|cross_section_fixed|bast|a0.7_f0.5|50|5|analysis/cross_section_fixed_funwake_k500_packed/a0.7_f0.5|24|5,10,15,20,30|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 5,10,15,20,30 --wind-rose elliptical --ed-a 0.7 --ed-f 0.5 --wind-dir 270
4|cross_section_fixed|bast|a0.9_f0.0|50|6|analysis/cross_section_fixed_funwake_k500_packed/a0.9_f0.0|24|2,5,10,15,30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,5,10,15,30,40 --wind-rose elliptical --ed-a 0.9 --ed-f 0.0 --wind-dir 270
5|cross_section_fixed|bast|a0.9_f1.0|50|4|analysis/cross_section_fixed_funwake_k500_packed/a0.9_f1.0|24|5,15,20,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 5,15,20,40 --wind-rose elliptical --ed-a 0.9 --ed-f 1.0 --wind-dir 270
6|cross_section_fixed|bast|dei|50|3|analysis/cross_section_fixed_funwake_k500_packed/dei|24|20,30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 20,30,40 --wind-rose dei
7|cross_section_fixed|bast|unidir90|50|7|analysis/cross_section_fixed_funwake_k500_packed/unidir90|24|2,5,10,15,20,30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,5,10,15,20,30,40 --wind-rose unidirectional --wind-dir 90
8|cross_section_fixed|tp|a0.5_f0.0|50|5|analysis/cross_section_fixed_tp_funwake_k500_packed/a0.5_f0.0|24|5,10,15,20,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 5,10,15,20,40 --wind-rose elliptical --ed-a 0.5 --ed-f 0.0 --wind-dir 270
9|cross_section_fixed|tp|a0.5_f1.0|50|6|analysis/cross_section_fixed_tp_funwake_k500_packed/a0.5_f1.0|24|2,10,15,20,30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10,15,20,30,40 --wind-rose elliptical --ed-a 0.5 --ed-f 1.0 --wind-dir 270
10|cross_section_fixed|tp|a0.7_f0.5|50|7|analysis/cross_section_fixed_tp_funwake_k500_packed/a0.7_f0.5|24|2,5,10,15,20,30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,5,10,15,20,30,40 --wind-rose elliptical --ed-a 0.7 --ed-f 0.5 --wind-dir 270
11|cross_section_fixed|tp|a0.9_f0.0|50|7|analysis/cross_section_fixed_tp_funwake_k500_packed/a0.9_f0.0|24|2,5,10,15,20,30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,5,10,15,20,30,40 --wind-rose elliptical --ed-a 0.9 --ed-f 0.0 --wind-dir 270
