idx|study|wake|name_key|n_target|n_distances|outdir|walltime_hr|distances|python_args
1|ablation_a_sweep|bast|a0.15_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.15_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.15 --ed-f 1.0 --wind-dir 270
2|ablation_a_sweep|bast|a0.1_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.1_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.1 --ed-f 1.0 --wind-dir 270
3|ablation_a_sweep|bast|a0.25_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.25_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.25 --ed-f 1.0 --wind-dir 270
4|ablation_a_sweep|bast|a0.2_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.2_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.2 --ed-f 1.0 --wind-dir 270
5|ablation_a_sweep|bast|a0.3_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.3_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.3 --ed-f 1.0 --wind-dir 270
6|ablation_a_sweep|bast|a0.4_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.4_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.4 --ed-f 1.0 --wind-dir 270
7|ablation_a_sweep|bast|a0.5_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.5_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.5 --ed-f 1.0 --wind-dir 270
8|ablation_a_sweep|bast|a0.8_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.8_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.8 --ed-f 1.0 --wind-dir 270
9|ablation_a_sweep|bast|a0.99_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.99_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.99 --ed-f 1.0 --wind-dir 270
10|ablation_a_sweep|bast|a0.9_f1.0|50|2|analysis/ablation_a_sweep_funwake_packed/a0.9_f1.0|26|2,10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 2000 --inner-max-iter 5000 --k-liberal 2000 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 2,10 --wind-rose elliptical --ed-a 0.9 --ed-f 1.0 --wind-dir 270
